"","county","state","population"
"920","Franklin County","KS",26028
"921","Geary County","KS",36747
"922","Gove County","KS",2694
"923","Graham County","KS",2405
"924","Grant County","KS",7327
"925","Gray County","KS",5633
"926","Greeley County","KS",1277
"927","Greenwood County","KS",5972
"928","Hamilton County","KS",2494
"929","Harper County","KS",5461
"930","Harvey County","KS",33942
"931","Haskell County","KS",3756
"932","Hodgeman County","KS",1718
"933","Jackson County","KS",13230
"934","Jefferson County","KS",18300
"935","Jewell County","KS",2926
"936","Johnson County","KS",610536
"937","Kearny County","KS",3971
"938","Kingman County","KS",7446
"939","Kiowa County","KS",2452
"940","Labette County","KS",20119
"941","Lane County","KS",1568
"942","Leavenworth County","KS",81870
"943","Lincoln County","KS",2947
"944","Linn County","KS",9582
"945","Logan County","KS",2743
"946","Lyon County","KS",32100
"947","McPherson County","KS",30160
"948","Marion County","KS",11754
"949","Marshall County","KS",10014
"950","Meade County","KS",4045
"951","Miami County","KS",34183
"952","Mitchell County","KS",5764
"953","Montgomery County","KS",31360
"954","Morris County","KS",5360
"955","Morton County","KS",2695
"956","Nemaha County","KS",10218
"957","Neosho County","KS",15909
"958","Ness County","KS",2678
"959","Norton County","KS",5435
"960","Osage County","KS",15724
"961","Osborne County","KS",3494
"962","Ottawa County","KS",5733
"963","Pawnee County","KS",6244
"964","Phillips County","KS",4953
"965","Pottawatomie County","KS",25392
"966","Pratt County","KS",9151
"967","Rawlins County","KS",2555
"968","Reno County","KS",61808
"969","Republic County","KS",4680
"970","Rice County","KS",9374
"971","Riley County","KS",71996
"972","Rooks County","KS",4894
"973","Rush County","KS",2944
"974","Russell County","KS",6672
"975","Saline County","KS",54232
"976","Scott County","KS",5137
"977","Sedgwick County","KS",524246
"978","Seward County","KS",21832
"979","Shawnee County","KS",178608
"980","Sheridan County","KS",2442
"981","Sherman County","KS",5882
"982","Smith County","KS",3559
"983","Stafford County","KS",4064
"984","Stanton County","KS",2072
"985","Stevens County","KS",5236
"986","Sumner County","KS",22332
"987","Thomas County","KS",7916
"988","Trego County","KS",2808
"989","Wabaunsee County","KS",6885
"990","Wallace County","KS",1514
"991","Washington County","KS",5526
"992","Wichita County","KS",2144
"993","Wilson County","KS",8577
"994","Woodson County","KS",3103
"995","Wyandotte County","KS",168873
"996","Adair County","KY",18870
"997","Allen County","KY",20595
"998","Anderson County","KY",23869
"999","Ballard County","KY",7724
"1000","Barren County","KY",44445
"1001","Bath County","KY",12708
"1002","Bell County","KY",23942
"1003","Boone County","KY",136403
"1004","Bourbon County","KY",20285
"1005","Boyd County","KY",48175
"1006","Boyle County","KY",30701
"1007","Bracken County","KY",8390
"1008","Breathitt County","KY",13679
"1009","Breckinridge County","KY",20432
"1010","Bullitt County","KY",82293
"1011","Butler County","KY",12318
"1012","Caldwell County","KY",12632
"1013","Calloway County","KY",37147
"1014","Campbell County","KY",93086
"1015","Carlisle County","KY",4811
"1016","Carroll County","KY",10833
"1017","Carter County","KY",26575
"1018","Casey County","KY",15886
"1019","Christian County","KY",72696
"1020","Clark County","KY",36999
"1021","Clay County","KY",20294
"1022","Clinton County","KY",9216
"1023","Crittenden County","KY",8985
"1024","Cumberland County","KY",5856
"1025","Daviess County","KY",103291
"1026","Edmonson County","KY",12132
"1027","Elliott County","KY",7334
"1028","Estill County","KY",14134
"1029","Fayette County","KY",322403
"1030","Fleming County","KY",15091
"1031","Floyd County","KY",35756
"1032","Franklin County","KY",51569
"1033","Fulton County","KY",6501
"1034","Gallatin County","KY",8667
"1035","Garrard County","KY",16935
"1036","Grant County","KY",25008
"1037","Graves County","KY",36512
"1038","Grayson County","KY",26410
"1039","Green County","KY",11112
"1040","Greenup County","KY",35852
"1041","Hancock County","KY",9092
"1042","Hardin County","KY",110719
"1043","Harlan County","KY",26689
"1044","Harrison County","KY",18705
"1045","Hart County","KY",19271
"1046","Henderson County","KY",44645
"1047","Henry County","KY",15666
"1048","Hickman County","KY",4521
"1049","Hopkins County","KY",45367
"1050","Jackson County","KY",12951
"1051","Jefferson County","KY",782123
"1052","Jessamine County","KY",52972
"1053","Johnson County","KY",22634
"1054","Kenton County","KY",169183
"1055","Knott County","KY",14160
"1056","Knox County","KY",30135
"1057","Larue County","KY",14870
"1058","Laurel County","KY",62662
"1059","Lawrence County","KY",16288
"1060","Lee County","KY",7360
"1061","Leslie County","KY",10455
"1062","Letcher County","KY",21428
"1063","Lewis County","KY",13061
"1064","Lincoln County","KY",24238
"1065","Livingston County","KY",8845
"1066","Logan County","KY",27497
"1067","Lyon County","KY",8664
"1068","McCracken County","KY",67836
"1069","McCreary County","KY",16851
"1070","McLean County","KY",9114
"1071","Madison County","KY",92920
"1072","Magoffin County","KY",11594
"1073","Marion County","KY",19580
"1074","Marshall County","KY",31665
"1075","Martin County","KY",11228
"1076","Mason County","KY",17085
"1077","Meade County","KY",29981
"1078","Menifee County","KY",6115
"1079","Mercer County","KY",22616
"1080","Metcalfe County","KY",10271
"1081","Monroe County","KY",11301
"1082","Montgomery County","KY",28091
"1083","Morgan County","KY",13719
"1084","Muhlenberg County","KY",30875
"1085","Nelson County","KY",46756
"1086","Nicholas County","KY",7536
"1087","Ohio County","KY",23726
"1088","Oldham County","KY",67642
"1089","Owen County","KY",11294
"1090","Owsley County","KY",4018
"1091","Pendleton County","KY",14640
"1092","Perry County","KY",28378
"1093","Pike County","KY",58408
"1094","Powell County","KY",13085
"1095","Pulaski County","KY",65016
"1096","Robertson County","KY",2184
"1097","Rockcastle County","KY",16053
"1098","Rowan County","KY",24732
"1099","Russell County","KY",17975
"1100","Scott County","KY",57477
"1101","Shelby County","KY",48179
"1102","Simpson County","KY",19620
"1103","Spencer County","KY",19564
"1104","Taylor County","KY",26020
"1105","Todd County","KY",12280
"1106","Trigg County","KY",14068
"1107","Trimble County","KY",8461
"1108","Union County","KY",13646
"1109","Warren County","KY",134933
"1110","Washington County","KY",12024
"1111","Wayne County","KY",19528
"1112","Webster County","KY",12989
"1113","Whitley County","KY",36687
"1114","Wolfe County","KY",6552
"1115","Woodford County","KY",26892
"1116","Acadia Parish","LA",57455
"1117","Allen Parish","LA",22697
"1118","Ascension Parish","LA",126984
"1119","Assumption Parish","LA",20968
"1120","Avoyelles Parish","LA",39616
"1121","Beauregard Parish","LA",36573
"1122","Bienville Parish","LA",12899
"1123","Bossier Parish","LA",128615
"1124","Caddo Parish","LA",237056
"1125","Calcasieu Parish","LA",216416
"1126","Caldwell Parish","LA",9617
"1127","Cameron Parish","LA",5619
"1128","Catahoula Parish","LA",8859
"1129","Claiborne Parish","LA",14109
"1130","Concordia Parish","LA",18589
"1131","De Soto Parish","LA",26854
"1132","East Baton Rouge Parish","LA",455884
"1133","East Carroll Parish","LA",7383
"1134","East Feliciana Parish","LA",19451
"1135","Evangeline Parish","LA",32307
"1136","Franklin Parish","LA",19721
"1137","Grant Parish","LA",22129
"1138","Iberia Parish","LA",69725
"1139","Iberville Parish","LA",30095
"1140","Jackson Parish","LA",14989
"1141","Jefferson Parish","LA",439845
"1142","Jefferson Davis Parish","LA",32166
"1143","Lafayette Parish","LA",242004
"1144","Lafourche Parish","LA",97495
"1145","LaSalle Parish","LA",14812
"1146","Lincoln Parish","LA",48259
"1147","Livingston Parish","LA",142726
"1148","Madison Parish","LA",9927
"1149","Morehouse Parish","LA",25430
"1150","Natchitoches Parish","LA",37349
"1151","Orleans Parish","LA",383282
"1152","Ouachita Parish","LA",160003
"1153","Plaquemines Parish","LA",23466
"1154","Pointe Coupee Parish","LA",20689
"1155","Rapides Parish","LA",129607
"1156","Red River Parish","LA",7619
"1157","Richland Parish","LA",19997
"1158","Sabine Parish","LA",22118
"1159","St. Bernard Parish","LA",43838
"1160","St. Charles Parish","LA",52481
"1161","St. Helena Parish","LA",10889
"1162","St. James Parish","LA",20127
"1163","St. John the Baptist Parish","LA",42394
"1164","St. Landry Parish","LA",82273
"1165","St. Martin Parish","LA",51604
"1166","St. Mary Parish","LA",49140
"1167","St. Tammany Parish","LA",264933
"1168","Tangipahoa Parish","LA",133549
"1169","Tensas Parish","LA",4116
"1170","Terrebonne Parish","LA",109319
"1171","Union Parish","LA",21124
"1172","Vermilion Parish","LA",57289
"1173","Vernon Parish","LA",48582
"1174","Washington Parish","LA",45370
"1175","Webster Parish","LA",36864
"1176","West Baton Rouge Parish","LA",27236
"1177","West Carroll Parish","LA",9694
"1178","West Feliciana Parish","LA",15256
"1179","Winn Parish","LA",13721
"1180","Androscoggin County","ME",111039
"1181","Aroostook County","ME",66994
"1182","Cumberland County","ME",303312
"1183","Franklin County","ME",29418
"1184","Hancock County","ME",55460
"1185","Kennebec County","ME",123754
"1186","Knox County","ME",40609
"1187","Lincoln County","ME",35192
"1188","Oxford County","ME",57849
"1189","Penobscot County","ME",152007
"1190","Piscataquis County","ME",16768
"1191","Sagadahoc County","ME",36688
"1192","Somerset County","ME",50404
"1193","Waldo County","ME",39635
"1194","Washington County","ME",31062
"1195","York County","ME",212089
"1196","Allegany County","MD",67947
"1197","Anne Arundel County","MD",588769
"1198","Baltimore County","MD",853073
"1199","Calvert County","MD",92857
"1200","Caroline County","MD",33290
"1201","Carroll County","MD",172890
"1202","Cecil County","MD",103740
"1203","Charles County","MD",166682
"1204","Dorchester County","MD",32508
"1205","Frederick County","MD",272737
"1206","Garrett County","MD",28761
"1207","Harford County","MD",261122
"1208","Howard County","MD",332722
"1209","Kent County","MD",19142
"1210","Montgomery County","MD",1061243
"1211","Prince George's County","MD",965601
"1212","Queen Anne's County","MD",49983
"1213","St. Mary's County","MD",113953
"1214","Somerset County","MD",24567
"1215","Talbot County","MD",37456
"1216","Washington County","MD",154586
"1217","Wicomico County","MD",103473
"1218","Worcester County","MD",52445
"1219","Baltimore city","MD",583132
"1220","Barnstable County","MA",228969
"1221","Berkshire County","MA",128758
"1222","Bristol County","MA",579172
"1223","Dukes County","MA",20581
"1224","Essex County","MA",809218
"1225","Franklin County","MA",70988
"1226","Hampden County","MA",464908
"1227","Hampshire County","MA",162064
"1228","Middlesex County","MA",1629422
"1229","Nantucket County","MA",14244
"1230","Norfolk County","MA",726025
"1231","Plymouth County","MA",530979
"1232","Suffolk County","MA",795431
"1233","Worcester County","MA",861461
"1234","Alcona County","MI",10158
"1235","Alger County","MI",8834
"1236","Allegan County","MI",120596
"1237","Alpena County","MI",28877
"1238","Antrim County","MI",23421
"1239","Arenac County","MI",14990
"1240","Baraga County","MI",8128
"1241","Barry County","MI",62548
"1242","Bay County","MI",103594
"1243","Benzie County","MI",17974
"1244","Berrien County","MI",154095
"1245","Branch County","MI",44810
"1246","Calhoun County","MI",134113
"1247","Cass County","MI",51563
"1248","Charlevoix County","MI",26012
"1249","Cheboygan County","MI",25599
"1250","Chippewa County","MI",36744
"1251","Clare County","MI",30822
"1252","Clinton County","MI",79128
"1253","Crawford County","MI",12965
"1254","Delta County","MI",36842
"1255","Dickinson County","MI",25886
"1256","Eaton County","MI",109106
"1257","Emmet County","MI",34090
"1258","Genesee County","MI",405648
"1259","Gladwin County","MI",25369
"1260","Gogebic County","MI",14315
"1261","Grand Traverse County","MI",95315
"1262","Gratiot County","MI",41662
"1263","Hillsdale County","MI",45677
"1264","Houghton County","MI",37160
"1265","Huron County","MI",31351
"1266","Ingham County","MI",284520
"1267","Ionia County","MI",66861
"1268","Iosco County","MI",25191
"1269","Iron County","MI",11637
"1270","Isabella County","MI",64488
"1271","Jackson County","MI",160200
"1272","Kalamazoo County","MI",261629
"1273","Kalkaska County","MI",17925
"1274","Kent County","MI",658040
"1275","Keweenaw County","MI",2055
"1276","Lake County","MI",12099
"1277","Lapeer County","MI",88528
"1278","Leelanau County","MI",22302
"1279","Lenawee County","MI",99214
"1280","Livingston County","MI",193973
"1281","Luce County","MI",5325
"1282","Mackinac County","MI",10830
"1283","Macomb County","MI",880349
"1284","Manistee County","MI",25063
"1285","Marquette County","MI",65931
"1286","Mason County","MI",29064
"1287","Mecosta County","MI",39781
"1288","Menominee County","MI",23423
"1289","Midland County","MI",83476
"1290","Missaukee County","MI",15067
"1291","Monroe County","MI",154796
"1292","Montcalm County","MI",66515
"1293","Montmorency County","MI",9155
"1294","Muskegon County","MI",175817
"1295","Newaygo County","MI",50042
"1296","Oakland County","MI",1272408
"1297","Oceana County","MI",26688
"1298","Ogemaw County","MI",20740
"1299","Ontonagon County","MI",5804
"1300","Osceola County","MI",22887
"1301","Oscoda County","MI",8234
"1302","Otsego County","MI",25102
"1303","Ottawa County","MI",296787
"1304","Presque Isle County","MI",12979
"1305","Roscommon County","MI",23432
"1306","Saginaw County","MI",189831
"1307","St. Clair County","MI",160265
"1308","St. Joseph County","MI",60902
"1309","Sanilac County","MI",40506
"1310","Schoolcraft County","MI",8041
"1311","Shiawassee County","MI",67983
"1312","Tuscola County","MI",53274
"1313","Van Buren County","MI",75556
"1314","Washtenaw County","MI",371656
"1315","Wayne County","MI",1790225
"1316","Wexford County","MI",33676
"1317","Aitkin County","MN",15693
"1318","Anoka County","MN",364299
"1319","Becker County","MN",35147
"1320","Beltrami County","MN",46230
"1321","Benton County","MN",41338
"1322","Big Stone County","MN",5147
"1323","Blue Earth County","MN",69173
"1324","Brown County","MN",25885
"1325","Carlton County","MN",36156
"1326","Carver County","MN",107286
"1327","Cass County","MN",30125
"1328","Chippewa County","MN",12593
"1329","Chisago County","MN",56670
"1330","Clay County","MN",65351
"1331","Clearwater County","MN",8580
"1332","Cook County","MN",5592
"1333","Cottonwood County","MN",11489
"1334","Crow Wing County","MN",66236
"1335","Dakota County","MN",440317
"1336","Dodge County","MN",20861
"1337","Douglas County","MN",39079
"1338","Faribault County","MN",13888
"1339","Fillmore County","MN",21246
"1340","Freeborn County","MN",30883
"1341","Goodhue County","MN",47536
"1342","Grant County","MN",6080
"1343","Hennepin County","MN",1281267
"1344","Houston County","MN",18818
"1345","Hubbard County","MN",21380
"1346","Isanti County","MN",41383
"1347","Itasca County","MN",44984
"1348","Jackson County","MN",9969
"1349","Kanabec County","MN",16040
"1350","Kandiyohi County","MN",43685
"1351","Kittson County","MN",4180
"1352","Koochiching County","MN",12031
"1353","Lac qui Parle County","MN",6701
"1354","Lake County","MN",10885
"1355","Lake of the Woods County","MN",3760
"1356","Le Sueur County","MN",28627
"1357","Lincoln County","MN",5628
"1358","Lyon County","MN",25174
"1359","McLeod County","MN",36701
"1360","Mahnomen County","MN",5374
"1361","Marshall County","MN",9035
"1362","Martin County","MN",19970
"1363","Meeker County","MN",23428
"1364","Mille Lacs County","MN",26410
"1365","Morrison County","MN",33980
"1366","Mower County","MN",40049
"1367","Murray County","MN",8168
"1368","Nicollet County","MN",34490
"1369","Nobles County","MN",22183
"1370","Norman County","MN",6422
"1371","Olmsted County","MN",162991
"1372","Otter Tail County","MN",60024
"1373","Pennington County","MN",13939
"1374","Pine County","MN",28854
"1375","Pipestone County","MN",9405
"1376","Polk County","MN",31051
"1377","Pope County","MN",11309
"1378","Ramsey County","MN",551480
"1379","Red Lake County","MN",3936
"1380","Redwood County","MN",15391
"1381","Renville County","MN",14684
"1382","Rice County","MN",67030
"1383","Rock County","MN",9705
"1384","Roseau County","MN",15294
"1385","St. Louis County","MN",199962
"1386","Scott County","MN",151265
"1387","Sherburne County","MN",97479
"1388","Sibley County","MN",14802
"1389","Stearns County","MN",158349
"1390","Steele County","MN",37352
"1391","Stevens County","MN",9646
"1392","Swift County","MN",9791
"1393","Todd County","MN",25250
"1394","Traverse County","MN",3346
"1395","Wabasha County","MN",21417
"1396","Wadena County","MN",14107
"1397","Waseca County","MN",18954
"1398","Washington County","MN",268191
"1399","Watonwan County","MN",11221
"1400","Wilkin County","MN",6481
"1401","Winona County","MN",49606
"1402","Wright County","MN",141759
"1403","Yellow Medicine County","MN",9492
"1404","Adams County","MS",29405
"1405","Alcorn County","MS",34680
"1406","Amite County","MS",12698
"1407","Attala County","MS",17828
"1408","Benton County","MS",7661
"1409","Bolivar County","MS",30849
"1410","Calhoun County","MS",13240
"1411","Carroll County","MS",9941
"1412","Chickasaw County","MS",17067
"1413","Choctaw County","MS",8202
"1414","Claiborne County","MS",9093
"1415","Clarke County","MS",15533
"1416","Clay County","MS",18645
"1417","Coahoma County","MS",21232
"1418","Copiah County","MS",28293
"1419","Covington County","MS",18313
"1420","DeSoto County","MS",185902
"1421","Forrest County","MS",78136
"1422","Franklin County","MS",7653
"1423","George County","MS",24335
"1424","Greene County","MS",13501
"1425","Grenada County","MS",21581
"1426","Hancock County","MS",46075
"1427","Harrison County","MS",208613
"1428","Hinds County","MS",226636
"1429","Holmes County","MS",16912
"1430","Humphreys County","MS",7715
"1431","Issaquena County","MS",1326
"1432","Itawamba County","MS",23824
"1433","Jackson County","MS",143291
"1434","Jasper County","MS",16348
"1435","Jefferson County","MS",7254
"1436","Jefferson Davis County","MS",11258
"1437","Jones County","MS",67142
"1438","Kemper County","MS",8983
"1439","Lafayette County","MS",55905
"1440","Lamar County","MS",64368
"1441","Lauderdale County","MS",72706
"1442","Lawrence County","MS",11984
"1443","Leake County","MS",21247
"1444","Lee County","MS",83228
"1445","Leflore County","MS",28196
"1446","Lincoln County","MS",34815
"1447","Lowndes County","MS",58726
"1448","Madison County","MS",109222
"1449","Marion County","MS",24399
"1450","Marshall County","MS",33754
"1451","Monroe County","MS",34093
"1452","Montgomery County","MS",9793
"1453","Neshoba County","MS",28992
"1454","Newton County","MS",21243
"1455","Noxubee County","MS",10231
"1456","Oktibbeha County","MS",51710
"1457","Panola County","MS",33114
"1458","Pearl River County","MS",56140
"1459","Perry County","MS",11470
"1460","Pike County","MS",40209
"1461","Pontotoc County","MS",31206
