"","county","state","unemployment"
"2943","Portsmouth city","VA",6.7
"2944","Radford city","VA",4.1
"2945","Richmond city","VA",5.5
"2946","Roanoke city","VA",4.8
"2947","Salem city","VA",3.6
"2948","Staunton city","VA",3.8
"2949","Suffolk city","VA",4.4
"2950","Virginia Beach city","VA",3.7
"2951","Waynesboro city","VA",4.1
"2952","Williamsburg city","VA",4.9
"2953","Winchester city","VA",3.5
"2954","Adams County","WA",5.5
"2955","Asotin County","WA",3.7
"2956","Benton County","WA",5.6
"2957","Chelan County","WA",5.3
"2958","Clallam County","WA",6.5
"2959","Clark County","WA",5.5
"2960","Columbia County","WA",5.2
"2961","Cowlitz County","WA",6.4
"2962","Douglas County","WA",5.5
"2963","Ferry County","WA",8.9
"2964","Franklin County","WA",6.6
"2965","Garfield County","WA",5.8
"2966","Grant County","WA",6.6
"2967","Grays Harbor County","WA",7.8
"2968","Island County","WA",5.6
"2969","Jefferson County","WA",6.2
"2970","King County","WA",4.3
"2971","Kitsap County","WA",5
"2972","Kittitas County","WA",6.3
"2973","Klickitat County","WA",6
"2974","Lewis County","WA",6.3
"2975","Lincoln County","WA",4.9
"2976","Mason County","WA",7
"2977","Okanogan County","WA",6.6
"2978","Pacific County","WA",7.9
"2979","Pend Oreille County","WA",7.6
"2980","Pierce County","WA",6.1
"2981","San Juan County","WA",5
"2982","Skagit County","WA",6.3
"2983","Skamania County","WA",6.4
"2984","Snohomish County","WA",5
"2985","Spokane County","WA",5.4
"2986","Stevens County","WA",6.7
"2987","Thurston County","WA",5.2
"2988","Wahkiakum County","WA",6.6
"2989","Walla Walla County","WA",4.6
"2990","Whatcom County","WA",6
"2991","Whitman County","WA",4.5
"2992","Yakima County","WA",7
"2993","Barbour County","WV",5.3
"2994","Berkeley County","WV",3.6
"2995","Boone County","WV",6.1
"2996","Braxton County","WV",6.7
"2997","Brooke County","WV",6.1
"2998","Cabell County","WV",4.6
"2999","Calhoun County","WV",10.3
"3000","Clay County","WV",7.7
"3001","Doddridge County","WV",4.1
"3002","Fayette County","WV",6.2
"3003","Gilmer County","WV",6.9
"3004","Grant County","WV",4.5
"3005","Greenbrier County","WV",4.5
"3006","Hampshire County","WV",3.4
"3007","Hancock County","WV",6.3
"3008","Hardy County","WV",4.9
"3009","Harrison County","WV",4.7
"3010","Jackson County","WV",5.7
"3011","Jefferson County","WV",3.1
"3012","Kanawha County","WV",5.2
"3013","Lewis County","WV",7
"3014","Lincoln County","WV",6.6
"3015","Logan County","WV",6.6
"3016","McDowell County","WV",8.2
"3017","Marion County","WV",5.2
"3018","Marshall County","WV",6.2
"3019","Mason County","WV",5.5
"3020","Mercer County","WV",6
"3021","Mineral County","WV",4.7
"3022","Mingo County","WV",9
"3023","Monongalia County","WV",3.9
"3024","Monroe County","WV",3.6
"3025","Morgan County","WV",3.5
"3026","Nicholas County","WV",6
"3027","Ohio County","WV",5.1
"3028","Pendleton County","WV",3
"3029","Pleasants County","WV",7.2
"3030","Pocahontas County","WV",5
"3031","Preston County","WV",4.5
"3032","Putnam County","WV",4.2
"3033","Raleigh County","WV",5.2
"3034","Randolph County","WV",5.6
"3035","Ritchie County","WV",5.6
"3036","Roane County","WV",8.5
"3037","Summers County","WV",4.7
"3038","Taylor County","WV",4.6
"3039","Tucker County","WV",5.4
"3040","Tyler County","WV",8
"3041","Upshur County","WV",6.2
"3042","Wayne County","WV",5.1
"3043","Webster County","WV",6.2
"3044","Wetzel County","WV",6.7
"3045","Wirt County","WV",7.6
"3046","Wood County","WV",5.3
"3047","Wyoming County","WV",5.8
"3048","Adams County","WI",6.2
"3049","Ashland County","WI",5
"3050","Barron County","WI",3.9
"3051","Bayfield County","WI",5.7
"3052","Brown County","WI",3.4
"3053","Buffalo County","WI",4.2
"3054","Burnett County","WI",5.3
"3055","Calumet County","WI",2.8
"3056","Chippewa County","WI",3.9
"3057","Clark County","WI",3.2
"3058","Columbia County","WI",3.4
"3059","Crawford County","WI",4.4
"3060","Dane County","WI",2.8
"3061","Dodge County","WI",3.2
"3062","Door County","WI",4.4
"3063","Douglas County","WI",4.4
"3064","Dunn County","WI",3.6
"3065","Eau Claire County","WI",3.2
"3066","Florence County","WI",4.8
"3067","Fond du Lac County","WI",3.2
"3068","Forest County","WI",6.7
"3069","Grant County","WI",3
"3070","Green County","WI",3
"3071","Green Lake County","WI",4.3
"3072","Iowa County","WI",3.4
"3073","Iron County","WI",6.4
"3074","Jackson County","WI",5.2
"3075","Jefferson County","WI",3.3
"3076","Juneau County","WI",4.3
"3077","Kenosha County","WI",4.3
"3078","Kewaunee County","WI",2.8
"3079","La Crosse County","WI",3
"3080","Lafayette County","WI",2.6
"3081","Langlade County","WI",4.5
"3082","Lincoln County","WI",3.7
"3083","Manitowoc County","WI",3.4
"3084","Marathon County","WI",3
"3085","Marinette County","WI",4.4
"3086","Marquette County","WI",4.4
"3087","Menominee County","WI",8.6
"3088","Milwaukee County","WI",5.4
"3089","Monroe County","WI",3.2
"3090","Oconto County","WI",3.7
"3091","Oneida County","WI",4.3
"3092","Outagamie County","WI",3.1
"3093","Ozaukee County","WI",3.1
"3094","Pepin County","WI",3.4
"3095","Pierce County","WI",3.4
"3096","Polk County","WI",4.2
"3097","Portage County","WI",3.5
"3098","Price County","WI",4.2
"3099","Racine County","WI",4.7
"3100","Richland County","WI",3.5
"3101","Rock County","WI",4.4
"3102","Rusk County","WI",4.4
"3103","St. Croix County","WI",3.4
"3104","Sauk County","WI",4
"3105","Sawyer County","WI",5.1
"3106","Shawano County","WI",3.7
"3107","Sheboygan County","WI",3.1
"3108","Taylor County","WI",3.3
"3109","Trempealeau County","WI",3.7
"3110","Vernon County","WI",3.2
"3111","Vilas County","WI",4.7
"3112","Walworth County","WI",3.6
"3113","Washburn County","WI",4.5
"3114","Washington County","WI",3.1
"3115","Waukesha County","WI",3.1
"3116","Waupaca County","WI",3.5
"3117","Waushara County","WI",4.2
"3118","Winnebago County","WI",3.2
"3119","Wood County","WI",4.4
"3120","Albany County","WY",3.3
"3121","Big Horn County","WY",4.4
"3122","Campbell County","WY",5.3
"3123","Carbon County","WY",3.9
"3124","Converse County","WY",4.9
"3125","Crook County","WY",3.4
"3126","Fremont County","WY",4.7
"3127","Goshen County","WY",3.5
"3128","Hot Springs County","WY",3.9
"3129","Johnson County","WY",4.1
"3130","Laramie County","WY",4
"3131","Lincoln County","WY",3.8
"3132","Natrona County","WY",6.1
"3133","Niobrara County","WY",3.6
"3134","Park County","WY",4.1
"3135","Platte County","WY",4
"3136","Sheridan County","WY",4.2
"3137","Sublette County","WY",5.6
"3138","Sweetwater County","WY",5.6
"3139","Teton County","WY",3.2
"3140","Uinta County","WY",5
"3141","Washakie County","WY",4
"3142","Weston County","WY",3.2
