"","county","state","metro","vaccinated"
"467","Adair County","IA","Non-metro",49.3
"468","Cedar County","IA","Non-metro",60.1
"469","Des Moines County","IA","Non-metro",51.6
"470","Owyhee County","ID","Metro",35.6
"471","Cass County","IL","Non-metro",62
"472","Clark County","IL","Non-metro",49.4
"473","Miami County","IN","Non-metro",40.2
"474","Bourbon County","KS","Non-metro",36.7
"475","Crawford County","KS","Non-metro",47
"476","Finney County","KS","Non-metro",46.8
"477","Geary County","KS","Non-metro",89.6
"478","Ottawa County","KS","Non-metro",44
"479","Rice County","KS","Non-metro",43.7
"480","Allen County","KY","Metro",39.6
"481","Campbell County","KY","Metro",63.7
"482","Shelby County","KY","Metro",46.9
"483","Dukes County","MA","Non-metro",NA
"484","Franklin County","MA","Non-metro",68.1
"485","Benton County","MO","Non-metro",47.7
"486","Grundy County","MO","Non-metro",35.5
"487","Howell County","MO","Non-metro",33.2
"488","Montgomery County","MO","Non-metro",48.6
"489","Cascade County","MT","Metro",54.5
"490","Lenoir County","NC","Non-metro",54.4
"491","Northampton County","NC","Non-metro",48.2
"492","McLean County","ND","Non-metro",46.1
"493","Cedar County","NE","Non-metro",40.8
"494","Polk County","NE","Non-metro",41.6
"495","Merrimack County","NH","Non-metro",68.1
"496","Otero County","NM","Non-metro",60.9
"497","Eureka County","NV","Non-metro",27.6
"498","Morrow County","OH","Metro",41.6
"499","Alfalfa County","OK","Non-metro",45.2
"500","Armstrong County","PA","Metro",59.9
"501","Washington County","PA","Metro",63.9
"502","Aibonito Municipio","PR","Metro",91.5
"503","Canovanas Municipio","PR","Metro",77.2
"504","Custer County","SD","Metro",50.5
"505","Coffee County","TN","Non-metro",46.2
"506","Bee County","TX","Non-metro",50.5
"507","Mitchell County","TX","Non-metro",36
"508","Polk County","TX","Non-metro",47.6
"509","Grand County","UT","Non-metro",67.7
"510","Poquoson city","VA","Metro",43.7
"511","Suffolk city","VA","Metro",53.5
"512","Shawano County","WI","Non-metro",53.7
"513","Mineral County","WV","Metro",51.2
"514","Chase County","KS","Non-metro",46.3
"515","Shawnee County","KS","Metro",61.4
"516","Smith County","KS","Non-metro",44.7
"517","Estill County","KY","Non-metro",51.8
"518","Scott County","KY","Metro",55.7
"519","Acadia Parish","LA","Metro",52.9
"520","Chippewa County","MI","Non-metro",69.7
"521","Grand Traverse County","MI","Non-metro",67.2
"522","Iron County","MI","Non-metro",55.8
"523","Kalkaska County","MI","Non-metro",46.6
"524","Norman County","MN","Non-metro",60.3
"525","Camden County","MO","Non-metro",45.3
"526","Gentry County","MO","Non-metro",43.4
"527","Phelps County","MO","Non-metro",43.7
"528","Big Horn County","MT","Non-metro",89.2
"529","Powell County","MT","Non-metro",45.3
"530","Prairie County","MT","Non-metro",38
"531","Cheyenne County","NE","Non-metro",43
"532","Hitchcock County","NE","Non-metro",34
"533","Unknown County","NJ","",NA
"534","Guadalupe County","NM","Non-metro",69.7
"535","Esmeralda County","NV","Non-metro",41.4
"536","Albany County","NY","Metro",74.6
"537","Herkimer County","NY","Metro",59.1
"538","Lawrence County","OH","Metro",49.4
"539","Licking County","OH","Metro",54.7
"540","Van Wert County","OH","Non-metro",43.4
"541","Greer County","OK","Non-metro",36.8
"542","Guaynabo Municipio","PR","Metro",90.6
"543","Gurabo Municipio","PR","Metro",70.8
"544","Las Piedras Municipio","PR","Metro",73.7
"545","Sabana Grande Municipio","PR","Metro",84.1
"546","San German Municipio","PR","Metro",78.5
"547","Aiken County","SC","Metro",45.6
"548","Darlington County","SC","Metro",48.7
"549","Orangeburg County","SC","Non-metro",55.7
"550","Culberson County","TX","Non-metro",52.1
"551","Dallam County","TX","Non-metro",44.6
"552","Delta County","TX","Non-metro",35.8
"553","Matagorda County","TX","Non-metro",46.9
"554","Trinity County","TX","Non-metro",39.6
"555","Millard County","UT","Non-metro",45.4
"556","Morgan County","UT","Metro",53.7
"557","Alleghany County","VA","Non-metro",39.4
"558","James City County","VA","Metro",56
"559","Smyth County","VA","Non-metro",48.2
"560","Norfolk city","VA","Metro",71
"561","Windsor County","VT","Non-metro",49.8
"562","Chelan County","WA","Metro",70.5
"563","Forest County","WI","Non-metro",60.4
"564","Morgan County","WV","Non-metro",40.3
"565","Webster County","WV","Non-metro",47.6
"566","Kusilvak Census Area","AK","Non-metro",66.7
"567","Clarke County","AL","Non-metro",51.1
"568","Washington County","AL","Non-metro",46
"569","Madison County","AR","Metro",43.1
"570","Collier County","FL","Metro",69.8
"571","Glynn County","GA","Metro",51.4
"572","Haralson County","GA","Metro",33.4
"573","Murray County","GA","Metro",37.1
"574","Marshall County","IA","Non-metro",66
"575","Putnam County","IL","Non-metro",57.3
"576","Unknown County","IL","",NA
"577","Warren County","IN","Non-metro",45.7
"578","De Witt County","IL","Metro",52.9
"579","Moultrie County","IL","Non-metro",44.1
"580","Harrison County","IN","Metro",50.6
"581","Ripley County","IN","Non-metro",48.1
"582","Shelby County","IN","Metro",57.8
"583","Decatur County","KS","Non-metro",40.4
"584","Concordia Parish","LA","Non-metro",43.5
"585","Richland Parish","LA","Non-metro",43.1
"586","Gladwin County","MI","Non-metro",47.8
"587","Menominee County","MI","Non-metro",57
"588","Wexford County","MI","Non-metro",51.4
"589","Lyon County","MN","Non-metro",56.6
"590","Marshall County","MN","Non-metro",49.8
"591","Andrew County","MO","Metro",38.1
"592","Daviess County","MO","Non-metro",33.1
"593","Linn County","MO","Non-metro",46.2
"594","Pemiscot County","MO","Non-metro",31.3
"595","Choctaw County","MS","Non-metro",36.2
"596","Lake County","MT","Non-metro",56.5
"597","Sheridan County","MT","Non-metro",48.4
"598","Coos County","NH","Non-metro",66.7
"599","Mora County","NM","Non-metro",64.6
"600","Monroe County","NY","Metro",72.3
"601","Tompkins County","NY","Metro",79.4
"602","Morgan County","OH","Non-metro",42.3
"603","Tuscarawas County","OH","Non-metro",44.4
"604","Hughes County","OK","Non-metro",45.8
"605","Washington County","RI","Metro",78.2
"606","Marlboro County","SC","Non-metro",43.7
"607","Unknown County","SC","",NA
"608","Dyer County","TN","Non-metro",40.3
"609","Henry County","TN","Non-metro",47.6
"610","Sullivan County","TN","Metro",56.4
"611","Bandera County","TX","Metro",50.8
"612","Fort Bend County","TX","Metro",71.5
"613","Gonzales County","TX","Non-metro",49.3
"614","Hunt County","TX","Metro",42.9
"615","Stonewall County","TX","Non-metro",40.4
"616","Bath County","VA","Non-metro",43.2
"617","Prince Edward County","VA","Non-metro",30.7
"618","Rappahannock County","VA","Metro",52.2
"619","Radford city","VA","Metro",34.9
"620","Garfield County","WA","Non-metro",39.1
"621","Whatcom County","WA","Metro",71.8
"622","Rusk County","WI","Non-metro",41.2
"623","Berkeley County","WV","Metro",54.8
"624","Lincoln County","WV","Metro",50.7
"625","Platte County","WY","Non-metro",41.2
"626","Coffee County","AL","Non-metro",47.2
"627","Alpine County","CA","Non-metro",NA
"628","Logan County","CO","Non-metro",38.1
"629","San Miguel County","CO","Non-metro",83.1
"630","Seminole County","FL","Metro",62
"631","Chattooga County","GA","Non-metro",38
"632","Pulaski County","GA","Metro",37.1
"633","Crawford County","IA","Non-metro",54
"634","Louisa County","IA","Non-metro",53
"635","Canyon County","ID","Metro",46.4
"636","Caribou County","ID","Non-metro",40.2
"637","Cumberland County","IL","Non-metro",39.3
"638","Aleutians East Borough","AK","Non-metro",75.2
"639","Riverside County","CA","Metro",58.9
"640","Bay County","FL","Metro",53.2
"641","Madison County","FL","Non-metro",46
"642","Santa Rosa County","FL","Metro",54.1
"643","Allamakee County","IA","Non-metro",53.5
"644","Camas County","ID","Non-metro",43
"645","Cassia County","ID","Non-metro",40.7
"646","Washington County","ID","Non-metro",40.5
"647","Adams County","IL","Non-metro",52.3
"648","Carroll County","IL","Non-metro",65.2
"649","Fulton County","IN","Non-metro",39.9
"650","Riley County","KS","Metro",39.2
"651","Martin County","KY","Non-metro",54.2
"652","Bossier Parish","LA","Metro",50.5
"653","Grant Parish","LA","Metro",42.5
